Metric,Avg,Min,Max,Unit
Data-Return Busy,24.68,24.68,24.68,Pct
Cache RAM → Data-Return Stall,22.71,22.71,22.71,Pct
Workgroup manager → Data-Return Stall,0.0,0.0,0.0,Pct
Coalescable Instructions,2.0,2.0,2.0,Instructions per wave
Read Instructions,1.0,1.0,1.0,Instructions per wave
Write Instructions,1.0,1.0,1.0,Instructions per wave
Atomic Instructions,0.0,0.0,0.0,Instructions per wave
