Metric,Avg,Min,Max,Units
Req,8.0,8.0,8.0,Req per wave
Hit Ratio,99.07,99.07,99.07,Pct
Hits,7.93,7.93,7.93,Req per wave
Translation Misses,0.04,0.04,0.04,Req per wave
Permission Misses,0.0,0.0,0.0,Req per wave
