Metric,Avg,Min,Max,Unit
Accelerator Utilization,100.0,100.0,100.0,Pct
Scheduler-Pipe Utilization,10.38,10.38,10.38,Pct
Workgroup Manager Utilization,45.52,45.52,45.52,Pct
Shader Engine Utilization,35.56,35.56,35.56,Pct
SIMD Utilization,21.96,21.96,21.96,Pct
Dispatched Workgroups,1024.0,1024.0,1024.0,Workgroups
Dispatched Wavefronts,4096.0,4096.0,4096.0,Wavefronts
VGPR Writes,4.0,4.0,4.0,Cycles/wave
SGPR Writes,2.0,2.0,2.0,Cycles/wave
