Metric,Avg,Min,Max,Unit
CPF Utilization,100.0,100.0,100.0,Pct
CPF Stall,0.0,0.0,0.0,Pct
CPF-L2 Utilization,10.13,10.13,10.13,Pct
CPF-L2 Stall,0.0,0.0,0.0,Pct
CPF-UTCL1 Stall,0.0,0.0,0.0,Pct
