Metric,Min,Q1,Median,Q3,Max
Stalled on L2 Data,21.04,21.04,21.04,21.04,21.04
Stalled on L2 Req,0.02,0.02,0.02,0.02,0.02
Tag RAM Stall (Read),0.74,0.74,0.74,0.74,0.74
Tag RAM Stall (Write),0.0,0.0,0.0,0.0,0.0
Tag RAM Stall (Atomic),0.0,0.0,0.0,0.0,0.0
