Metric,Avg,Min,Max,Unit
VALU,9.75,9.75,9.75,Instr per wave
VMEM,1.12,1.12,1.12,Instr per wave
LDS,0.0,0.0,0.0,Instr per wave
MFMA,0.0,0.0,0.0,Instr per wave
SALU,7.75,7.75,7.75,Instr per wave
SMEM,3.12,3.12,3.12,Instr per wave
Branch,2.12,2.12,2.12,Instr per wave
