Metric,Avg,Min,Max,Unit
Accelerator Utilization,100.0,100.0,100.0,Pct
Scheduler-Pipe Utilization,15.74,15.74,15.74,Pct
Workgroup Manager Utilization,64.89,64.89,64.89,Pct
Shader Engine Utilization,61.46,61.46,61.46,Pct
SIMD Utilization,59.43,59.43,59.43,Pct
Dispatched Workgroups,2048.0,2048.0,2048.0,Workgroups
Dispatched Wavefronts,8192.0,8192.0,8192.0,Wavefronts
VGPR Writes,4.0,4.0,4.0,Cycles/wave
SGPR Writes,2.0,2.0,2.0,Cycles/wave
