Metric,Avg,Min,Max,Unit
Data-Return Busy,54.26,54.26,54.26,Pct
Cache RAM → Data-Return Stall,24.88,24.88,24.88,Pct
Workgroup manager → Data-Return Stall,0.0,0.0,0.0,Pct
Coalescable Instructions,101.0,101.0,101.0,Instructions per wave
Read Instructions,100.0,100.0,100.0,Instructions per wave
Write Instructions,1.0,1.0,1.0,Instructions per wave
Atomic Instructions,0.0,0.0,0.0,Instructions per wave
