Channel,Min,Q1,Median,Q3,Max
0.0,1782.17,1782.17,1782.17,1782.17,1782.17
1.0,1800.21,1800.21,1800.21,1800.21,1800.21
2.0,1811.96,1811.96,1811.96,1811.96,1811.96
3.0,1902.87,1902.87,1902.87,1902.87,1902.87
4.0,1808.09,1808.09,1808.09,1808.09,1808.09
5.0,1831.99,1831.99,1831.99,1831.99,1831.99
6.0,1839.33,1839.33,1839.33,1839.33,1839.33
7.0,1831.92,1831.92,1831.92,1831.92,1831.92
8.0,1759.56,1759.56,1759.56,1759.56,1759.56
9.0,1787.9,1787.9,1787.9,1787.9,1787.9
10.0,1803.06,1803.06,1803.06,1803.06,1803.06
11.0,1900.55,1900.55,1900.55,1900.55,1900.55
12.0,1805.57,1805.57,1805.57,1805.57,1805.57
13.0,1806.28,1806.28,1806.28,1806.28,1806.28
14.0,1799.65,1799.65,1799.65,1799.65,1799.65
15.0,1796.67,1796.67,1796.67,1796.67,1796.67
16.0,,,,,
17.0,,,,,
18.0,,,,,
19.0,,,,,
20.0,,,,,
21.0,,,,,
22.0,,,,,
23.0,,,,,
24.0,,,,,
25.0,,,,,
26.0,,,,,
27.0,,,,,
28.0,,,,,
29.0,,,,,
30.0,,,,,
31.0,,,,,
32.0,,,,,
33.0,,,,,
34.0,,,,,
35.0,,,,,
36.0,,,,,
37.0,,,,,
38.0,,,,,
39.0,,,,,
40.0,,,,,
41.0,,,,,
42.0,,,,,
43.0,,,,,
44.0,,,,,
45.0,,,,,
46.0,,,,,
47.0,,,,,
48.0,,,,,
49.0,,,,,
50.0,,,,,
51.0,,,,,
52.0,,,,,
53.0,,,,,
54.0,,,,,
55.0,,,,,
56.0,,,,,
57.0,,,,,
58.0,,,,,
59.0,,,,,
60.0,,,,,
61.0,,,,,
62.0,,,,,
63.0,,,,,
64.0,,,,,
65.0,,,,,
66.0,,,,,
67.0,,,,,
68.0,,,,,
69.0,,,,,
70.0,,,,,
71.0,,,,,
72.0,,,,,
73.0,,,,,
74.0,,,,,
75.0,,,,,
76.0,,,,,
77.0,,,,,
78.0,,,,,
79.0,,,,,
80.0,,,,,
81.0,,,,,
82.0,,,,,
83.0,,,,,
84.0,,,,,
85.0,,,,,
86.0,,,,,
87.0,,,,,
88.0,,,,,
89.0,,,,,
90.0,,,,,
91.0,,,,,
92.0,,,,,
93.0,,,,,
94.0,,,,,
95.0,,,,,
96.0,,,,,
97.0,,,,,
98.0,,,,,
99.0,,,,,
100.0,,,,,
101.0,,,,,
102.0,,,,,
103.0,,,,,
104.0,,,,,
105.0,,,,,
106.0,,,,,
107.0,,,,,
108.0,,,,,
109.0,,,,,
110.0,,,,,
111.0,,,,,
112.0,,,,,
113.0,,,,,
114.0,,,,,
115.0,,,,,
116.0,,,,,
117.0,,,,,
118.0,,,,,
119.0,,,,,
120.0,,,,,
121.0,,,,,
122.0,,,,,
123.0,,,,,
124.0,,,,,
125.0,,,,,
126.0,,,,,
127.0,,,,,
