Metric,Min,Q1,Median,Q3,Max
Stalled on L2 Data,27.16,27.16,27.16,27.16,27.16
Stalled on L2 Req,5.7,5.7,5.7,5.7,5.7
Tag RAM Stall (Read),2.09,2.09,2.09,2.09,2.09
Tag RAM Stall (Write),2.09,2.09,2.09,2.09,2.09
Tag RAM Stall (Atomic),0.0,0.0,0.0,0.0,0.0
